		time				value
             1.38417e-10                      0.94370103
           1.3881248e-10                        0.948084
           1.3920795e-10                      0.95230353
           1.3960344e-10                      0.95635718
           1.3999892e-10                      0.96024257
           1.4039439e-10                      0.96395767
           1.4078987e-10                      0.96750027
           1.4118534e-10                      0.97086853
           1.4158082e-10                       0.9740603
           1.4197629e-10                      0.97707403
           1.4237177e-10                      0.97990775
           1.4276726e-10                       0.9825601
           1.4316273e-10                       0.9850294
           1.4355821e-10                      0.98731416
           1.4395368e-10                      0.98941332
           1.4434916e-10                      0.99132538
           1.4474463e-10                       0.9930495
           1.4514011e-10                       0.9945845
            1.455356e-10                       0.9959296
           1.4593107e-10                      0.99708402
           1.4632655e-10                      0.99804705
           1.4672202e-10                       0.9988181
            1.471175e-10                       0.9993968
           1.4751297e-10                       0.9997828
           1.4790845e-10                      0.99997586
           1.4830394e-10                      0.99997586
           1.4869941e-10                       0.9997828
           1.4909489e-10                      0.99939686
           1.4949036e-10                      0.99881816
           1.4988584e-10                      0.99804711
           1.5028132e-10                      0.99708408
           1.5067679e-10                      0.99592972
           1.5107228e-10                      0.99458462
           1.5146774e-10                      0.99304962
           1.5186323e-10                       0.9913255
           1.5225871e-10                      0.98941338
           1.5265418e-10                      0.98731434
           1.5304966e-10                      0.98502946
           1.5344513e-10                      0.98256028
           1.5384062e-10                      0.97990793
           1.5423608e-10                      0.97707421
           1.5463157e-10                      0.97406054
           1.5502703e-10                      0.97086871
           1.5542252e-10                      0.96750051
             1.55818e-10                      0.96395779
           1.5621347e-10                      0.96024281
           1.5660896e-10                       0.9563573
           1.5700442e-10                      0.95230377
           1.5739991e-10                      0.94808424
           1.5779537e-10                      0.94370133
           1.5819086e-10                      0.93915719
           1.5858634e-10                       0.9344545
           1.5898181e-10                      0.92959601
           1.5937729e-10                      0.92458409
           1.5977276e-10                      0.91942185
           1.6016825e-10                      0.91411173
           1.6056372e-10                      0.90865695
            1.609592e-10                      0.90306026
           1.6135468e-10                      0.89732474
           1.6175015e-10                      0.89145368
           1.6214563e-10                      0.88544989
           1.6254111e-10                      0.87931699
           1.6293659e-10                      0.87305772
           1.6333206e-10                      0.86667585
           1.6372755e-10                      0.86017442
           1.6412301e-10                      0.85355711
            1.645185e-10                      0.84682697
           1.6491397e-10                       0.8399877
           1.6530945e-10                      0.83304304
           1.6570494e-10                      0.82599604
            1.661004e-10                      0.81885082
           1.6649589e-10                      0.81161046
           1.6689135e-10                      0.80427903
           1.6728684e-10                      0.79685974
           1.6768231e-10                      0.78935671
           1.6807779e-10                      0.78177315
           1.6847328e-10                      0.77411294
           1.6886874e-10                      0.76638007
           1.6926423e-10                      0.75857776
           1.6965969e-10                      0.75071013
           1.7005518e-10                      0.74278045
           1.7045064e-10                      0.73479289
           1.7084613e-10                      0.72675061
           1.7124162e-10                      0.71865761
           1.7163708e-10                      0.71051782
           1.7203257e-10                      0.70233434
           1.7242803e-10                      0.69411135
           1.7282352e-10                      0.68585193
           1.7321898e-10                      0.67756021
           1.7361447e-10                      0.66923928
           1.7400996e-10                       0.6608929
           1.7440542e-10                      0.65252489
           1.7480091e-10                      0.64413822
           1.7519637e-10                      0.63573682
           1.7559186e-10                      0.62732357
           1.7598732e-10                       0.6189025
           1.7638281e-10                      0.61047626
           1.7677829e-10                      0.60204881
           1.7717376e-10                      0.59362274
           1.7756925e-10                      0.58520168
           1.7796471e-10                       0.5767889
            1.783602e-10                      0.56838709
           1.7875566e-10                      0.55999982
           1.7915115e-10                      0.55162948
           1.7954663e-10                      0.54327965
            1.799421e-10                      0.53495264
           1.8033758e-10                      0.52665186
           1.8073305e-10                      0.51837951
           1.8112854e-10                      0.51013857
             1.81524e-10                      0.50193197
           1.8191949e-10                      0.49376184
           1.8231497e-10                      0.48563114
           1.8271044e-10                      0.47754189
           1.8310592e-10                        0.469497
           1.8350139e-10                      0.46149823
           1.8389688e-10                      0.45354819
           1.8429235e-10                      0.44564927
           1.8468783e-10                      0.43780315
           1.8508331e-10                       0.4300124
           1.8547879e-10                      0.42227849
           1.8587426e-10                      0.41460386
           1.8626974e-10                       0.4069899
           1.8666522e-10                      0.39943862
           1.8706069e-10                      0.39195201
           1.8745618e-10                      0.38453123
           1.8785165e-10                      0.37717834
           1.8824713e-10                      0.36989442
            1.886426e-10                      0.36268136
           1.8903808e-10                      0.35554007
           1.8943355e-10                      0.34847233
           1.8982903e-10                      0.34147894
           1.9022452e-10                      0.33456129
           1.9061999e-10                       0.3277207
           1.9101547e-10                      0.32095781
           1.9141094e-10                      0.31427401
           1.9180642e-10                      0.30766976
           1.9220189e-10                      0.30114636
           1.9259737e-10                      0.29470417
           1.9299284e-10                      0.28834432
           1.9338832e-10                      0.28206703
           1.9378381e-10                      0.27587315
           1.9417928e-10                      0.26976338
           1.9457476e-10                      0.26373783
           1.9497023e-10                      0.25779724
           1.9536571e-10                      0.25194165
           1.9576119e-10                      0.24617173
           1.9615666e-10                      0.24048731
           1.9655215e-10                      0.23488879
           1.9694762e-10                      0.22937651
            1.973431e-10                      0.22395015
           1.9773858e-10                      0.21861014
           1.9813405e-10                      0.21335609
           1.9852953e-10                      0.20818828
             1.98925e-10                      0.20310625
           1.9932049e-10                      0.19811004
           1.9971597e-10                      0.19319957
           2.0011144e-10                       0.1883743
           2.0050692e-10                      0.18363424
           2.0090239e-10                      0.17897873
           2.0129787e-10                      0.17440772
           2.0169334e-10                       0.1699205
           2.0208882e-10                      0.16551693
           2.0248431e-10                      0.16119619
           2.0287978e-10                      0.15695794
           2.0327526e-10                      0.15280175
           2.0367073e-10                      0.14872678
           2.0406621e-10                      0.14473265
           2.0446168e-10                      0.14081848
           2.0485716e-10                      0.13698383
           2.0525265e-10                      0.13322775
           2.0564811e-10                      0.12954977
            2.060436e-10                      0.12594891
           2.0643907e-10                      0.12242448
           2.0683455e-10                       0.1189758
           2.0723002e-10                      0.11560186
            2.076255e-10                      0.11230201
           2.0802099e-10                      0.10907519
           2.0841645e-10                      0.10592074
           2.0881194e-10                      0.10283756
           2.0920742e-10                     0.099824846
           2.0960289e-10                     0.096881784
           2.0999837e-10                     0.094007246
           2.1039384e-10                     0.091200478
           2.1078933e-10                     0.088460341
           2.1118479e-10                     0.085786052
           2.1158028e-10                     0.083176471
           2.1197576e-10                     0.080630697
           2.1237123e-10                     0.078147836
           2.1276671e-10                     0.075726725
           2.1316218e-10                     0.073366538
           2.1355767e-10                     0.071066111
           2.1395313e-10                     0.068824604
